organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_sdf_pipeline,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,-0.04126739501953125,Japan,0.752249550089982,0.22942884136114136,0.32142980674695903,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.08797232309977214,Pakistan,0.8732253549290142,1.106545255249921,1.5502699026051394,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.12684988975524902,Poland,0.8744251149770046,0.7841169243178177,1.0985478109692626,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,1,all,China,India,state_actor,12.0,4,0.02832682927449544,China,1.0,0.7153725434635692,1.0022369333924603,1.0,,,
pc_sdf_pipeline,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.3485861619313558,United States,0.2539492101579684,0.41923191819154026,0.587343917386348,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,5,C7_policy_contested,Turkey,Egypt,state_actor,12.0,4,0.16014846165974936,Turkey,0.3809238152369526,0.30897734794982146,0.43287726447769986,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,6,C7_policy_contested,Brazil,South Africa,state_actor,12.0,4,0.5412921110788981,Brazil,0.38132373525294944,0.8705743580210868,1.2196746755875427,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,0,C7_policy_contested,Russia,France,state_actor,12.0,4,-0.07897559801737468,France,0.486502699460108,0.1717907963447663,0.2406789056790176,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,2,C7_policy_contested,Iran,Saudi Arabia,state_actor,12.0,4,0.6085548400878906,Iran,0.4983003399320136,1.0775880745289652,1.5097008924150803,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,8,C7_policy_contested,North Korea,Venezuela,state_actor,12.0,4,-0.4635169506072998,Venezuela,0.6354729054189162,1.8295049000567336,2.5631363649794836,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,4,C7_policy_contested,Germany,Japan,state_actor,12.0,4,-0.04126739501953125,Japan,0.752249550089982,0.22942884136114136,0.32142980674695903,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,7,C7_policy_contested,Israel,Pakistan,state_actor,12.0,4,-0.08797232309977214,Pakistan,0.8732253549290142,1.106545255249921,1.5502699026051394,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,9,C7_policy_contested,Ukraine,Poland,state_actor,12.0,4,-0.12684988975524902,Poland,0.8744251149770046,0.7841169243178177,1.0985478109692626,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,1,C7_policy_contested,China,India,state_actor,12.0,4,0.02832682927449544,China,1.0,0.7153725434635692,1.0022369333924603,1.0,,,
pc_sdf_pipeline,resid_norm,19,3,,United States,United Kingdom,state_actor,,4,0.3485861619313558,United States,0.2581483703259348,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,5,,Turkey,Egypt,state_actor,,4,0.16014846165974936,Turkey,0.3645270945810838,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,6,,Brazil,South Africa,state_actor,,4,0.5412921110788981,Brazil,0.382123575284943,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,0,,Russia,France,state_actor,,4,-0.07897559801737468,France,0.4941011797640472,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,2,,Iran,Saudi Arabia,state_actor,,4,0.6085548400878906,Iran,0.495500899820036,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,8,,North Korea,Venezuela,state_actor,,4,-0.4635169506072998,Venezuela,0.6362727454509098,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,4,,Germany,Japan,state_actor,,4,-0.04126739501953125,Japan,0.7614477104579084,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,9,,Ukraine,Poland,state_actor,,4,-0.12684988975524902,Poland,0.8754249150169966,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,7,,Israel,Pakistan,state_actor,,4,-0.08797232309977214,Pakistan,0.8772245550889822,,,0.9746939500988692,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,1,,China,India,state_actor,,4,0.02832682927449544,China,1.0,,,1.0,max_condition,C7_policy_contested,1.0
control_self,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.17052841186523438,United States,0.1269746050789842,0.07516720095493674,0.10530924853786638,0.6468706258748249,,,
control_self,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,0.1916502316792806,Turkey,0.129374125174965,0.08542396238916596,0.11967897130722151,0.6468706258748249,,,
control_self,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,0.41075611114501953,Iran,0.4941011797640472,1.2954645889567393,1.8149458891283918,1.0,,,
control_self,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.0874778429667155,Poland,0.7570485902819436,0.3806043668699987,0.5332267179848682,1.0,,,
control_self,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.1228952407836914,Pakistan,0.8720255948810238,0.9333160417023917,1.3075757744250507,1.0,,,
control_self,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,0.09512853622436523,Russia,0.8748250349930013,0.4067761003417231,0.5698933165787541,1.0,,,
control_self,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,-0.14193948109944662,Japan,1.0,0.6873796172347545,0.9630188437458911,1.0,,,
control_self,resid_norm,19,1,all,China,India,state_actor,12.0,4,0.08451652526855469,China,1.0,0.7318667727883287,1.0253453486764486,1.0,,,
control_self,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,0.008359432220458984,Brazil,1.0,0.9383254112341388,1.3145939011390284,1.0,,,
control_self,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,-0.05637772878011068,Venezuela,1.0,1.3707682599747946,1.9204463322246872,1.0,,,
control_self,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.17052841186523438,United States,0.1269746050789842,0.07516720095493674,0.10530924853786638,0.6468706258748249,,,
control_self,resid_norm,19,5,C7_policy_contested,Turkey,Egypt,state_actor,12.0,4,0.1916502316792806,Turkey,0.129374125174965,0.08542396238916596,0.11967897130722151,0.6468706258748249,,,
